order_item_id,order_id,product_id,quantity,unit_price,subtotal
1,1,42,4,266.91,1067.64
2,2,460,2,150.97,301.94
3,3,148,1,387.8,387.8
4,4,56,2,33.67,67.34
5,5,142,1,83.8,83.8
6,6,357,2,494.26,988.52
7,7,255,2,440.65,881.3
8,8,448,2,226.9,453.8
9,9,267,1,362.04,362.04
10,10,151,4,485.35,1941.4
11,11,497,5,45.38,226.9
12,12,478,2,81.59,163.18
13,13,243,3,80.73,242.19
14,14,216,4,233.54,934.16
15,15,378,1,91.66,91.66
16,16,150,2,469.92,939.84
17,17,33,1,457.7,457.7
18,18,447,2,61.26,122.52
19,19,428,5,476.0,2380.0
20,20,331,3,137.19,411.57
21,21,211,5,86.7,433.5
22,22,176,3,158.66,475.98
23,23,249,5,441.41,2207.05
24,24,341,5,231.11,1155.55
25,25,432,5,451.34,2256.7
26,26,228,4,351.24,1404.96
27,27,156,5,195.67,978.35
28,28,68,3,296.28,888.84
29,29,88,3,206.17,618.51
30,30,117,4,466.22,1864.88
31,31,191,3,449.12,1347.36
32,32,395,1,400.44,400.44
33,33,76,3,331.2,993.6
34,34,146,4,16.71,66.84
35,35,490,2,318.42,636.84
36,36,317,2,142.69,285.38
37,37,365,5,313.51,1567.55
38,38,147,2,167.49,334.98
39,39,499,2,210.02,420.04
40,40,430,2,475.52,951.04
41,41,83,2,128.65,257.3
42,42,60,1,277.15,277.15
43,43,163,5,335.11,1675.55
44,44,65,4,450.31,1801.24
45,45,134,3,182.12,546.36
46,46,95,2,369.19,738.38
47,47,288,1,388.97,388.97
48,48,341,3,231.11,693.33
49,49,177,2,17.09,34.18
50,50,191,4,449.12,1796.48
51,51,277,2,434.89,869.78
52,52,274,3,269.4,808.2
53,53,63,1,366.32,366.32
54,54,208,4,113.61,454.44
55,55,394,2,452.56,905.12
56,56,486,4,94.31,377.24
57,57,476,3,147.38,442.14
58,58,80,1,431.53,431.53
59,59,497,5,45.38,226.9
60,60,500,5,258.61,1293.05
61,61,170,3,329.08,987.24
62,62,243,3,80.73,242.19
63,63,497,5,45.38,226.9
64,64,342,2,99.35,198.7
65,65,410,5,423.64,2118.2
66,66,374,4,19.33,77.32
67,67,174,1,318.31,318.31
68,68,375,4,32.78,131.12
69,69,461,1,217.95,217.95
70,70,72,5,142.85,714.25
71,71,60,3,277.15,831.45
72,72,13,4,193.06,772.24
73,73,317,2,142.69,285.38
74,74,229,3,304.92,914.76
75,75,48,3,252.79,758.37
76,76,29,5,411.79,2058.95
77,77,329,2,313.2,626.4
78,78,299,5,430.51,2152.55
79,79,114,3,273.89,821.67
80,80,101,1,64.34,64.34
81,81,43,5,471.5,2357.5
82,82,435,4,333.07,1332.28
83,83,347,1,152.79,152.79
84,84,500,5,258.61,1293.05
85,85,202,2,452.9,905.8
86,86,252,3,426.22,1278.66
87,87,309,5,204.24,1021.2
88,88,262,1,333.66,333.66
89,89,466,3,366.16,1098.48
90,90,204,2,241.1,482.2
91,91,367,4,338.81,1355.24
92,92,190,4,416.13,1664.52
93,93,191,1,449.12,449.12
94,94,146,3,16.71,50.13
95,95,180,3,360.58,1081.74
96,96,229,5,304.92,1524.6
97,97,45,2,322.28,644.56
98,98,373,4,87.35,349.4
99,99,380,4,456.85,1827.4
100,100,412,4,135.91,543.64
101,101,148,2,387.8,775.6
102,102,413,4,187.45,749.8
103,103,374,4,19.33,77.32
104,104,72,5,142.85,714.25
105,105,307,1,413.0,413.0
106,106,74,2,238.97,477.94
107,107,156,4,195.67,782.68
108,108,445,5,165.27,826.35
109,109,172,1,239.23,239.23
110,110,478,5,81.59,407.95
111,111,388,4,499.69,1998.76
112,112,46,1,220.21,220.21
113,113,210,3,341.18,1023.54
114,114,213,2,18.35,36.7
115,115,285,4,155.4,621.6
116,116,364,5,237.4,1187.0
117,117,387,2,128.8,257.6
118,118,103,2,45.58,91.16
119,119,427,4,247.23,988.92
120,120,149,5,257.16,1285.8
121,121,252,1,426.22,426.22
122,122,422,3,121.23,363.69
123,123,428,5,476.0,2380.0
124,124,156,4,195.67,782.68
125,125,287,4,300.08,1200.32
126,126,115,1,492.01,492.01
127,127,406,1,404.21,404.21
128,128,79,3,204.3,612.9
129,129,154,4,365.63,1462.52
130,130,64,3,159.3,477.9
131,131,214,2,284.37,568.74
132,132,252,2,426.22,852.44
133,133,15,1,26.51,26.51
134,134,392,3,9.01,27.03
135,135,253,1,110.0,110.0
136,136,307,3,413.0,1239.0
137,137,298,4,119.58,478.32
138,138,290,4,296.32,1185.28
139,139,445,3,165.27,495.81
140,140,322,4,250.26,1001.04
141,141,499,1,210.02,210.02
142,142,192,5,133.3,666.5
143,143,376,5,218.19,1090.95
144,144,9,3,405.67,1217.01
145,145,84,5,404.97,2024.85
146,146,30,2,137.53,275.06
147,147,164,4,350.12,1400.48
148,148,450,2,114.67,229.34
149,149,183,2,215.45,430.9
150,150,28,3,343.88,1031.64
151,151,185,4,29.86,119.44
152,152,326,3,259.73,779.19
153,153,25,3,319.31,957.93
154,154,150,5,469.92,2349.6
155,155,328,1,31.83,31.83
156,156,264,2,498.33,996.66
157,157,393,2,305.17,610.34
158,158,392,1,9.01,9.01
159,159,307,2,413.0,826.0
160,160,279,3,237.35,712.05
161,161,447,3,61.26,183.78
162,162,424,3,474.94,1424.82
163,163,139,3,209.09,627.27
164,164,50,5,321.28,1606.4
165,165,297,3,298.94,896.82
166,166,422,2,121.23,242.46
167,167,7,2,359.43,718.86
168,168,266,3,156.78,470.34
169,169,191,4,449.12,1796.48
170,170,211,3,86.7,260.1
171,171,472,2,478.53,957.06
172,172,53,2,5.28,10.56
173,173,80,5,431.53,2157.65
174,174,114,2,273.89,547.78
175,175,408,5,378.3,1891.5
176,176,315,5,24.91,124.55
177,177,434,5,65.47,327.35
178,178,365,5,313.51,1567.55
179,179,360,1,54.68,54.68
180,180,214,4,284.37,1137.48
181,181,470,1,218.78,218.78
182,182,60,2,277.15,554.3
183,183,473,1,336.66,336.66
184,184,246,3,244.33,732.99
185,185,160,3,218.49,655.47
186,186,72,4,142.85,571.4
187,187,456,5,44.99,224.95
188,188,268,3,372.73,1118.19
189,189,89,3,433.0,1299.0
190,190,15,1,26.51,26.51
191,191,114,2,273.89,547.78
192,192,439,2,295.26,590.52
193,193,353,2,123.21,246.42
194,194,158,2,262.36,524.72
195,195,108,2,464.86,929.72
196,196,41,4,195.46,781.84
197,197,354,1,428.73,428.73
198,198,40,1,341.84,341.84
199,199,397,4,129.06,516.24
200,200,388,4,499.69,1998.76
201,201,22,2,142.6,285.2
202,202,56,1,33.67,33.67
203,203,407,5,62.01,310.05
204,204,304,1,78.75,78.75
205,205,241,1,219.59,219.59
206,206,466,3,366.16,1098.48
207,207,23,1,188.24,188.24
208,208,155,1,305.07,305.07
209,209,387,1,128.8,128.8
210,210,401,1,455.27,455.27
211,211,472,5,478.53,2392.65
212,212,106,5,136.48,682.4
213,213,462,2,329.08,658.16
214,214,95,3,369.19,1107.57
215,215,15,1,26.51,26.51
216,216,75,3,206.49,619.47
217,217,486,5,94.31,471.55
218,218,179,3,210.15,630.45
219,219,83,5,128.65,643.25
220,220,400,5,185.61,928.05
221,221,124,5,318.97,1594.85
222,222,292,1,480.25,480.25
223,223,51,5,80.66,403.3
224,224,391,1,489.08,489.08
225,225,271,2,145.08,290.16
226,226,367,2,338.81,677.62
227,227,494,3,471.0,1413.0
228,228,88,5,206.17,1030.85
229,229,3,1,369.55,369.55
230,230,474,2,437.44,874.88
231,231,472,5,478.53,2392.65
232,232,436,4,15.57,62.28
233,233,188,5,299.75,1498.75
234,234,95,4,369.19,1476.76
235,235,345,1,467.45,467.45
236,236,93,3,360.61,1081.83
237,237,195,4,43.35,173.4
238,238,110,5,41.26,206.3
239,239,117,4,466.22,1864.88
240,240,58,3,39.26,117.78
241,241,64,4,159.3,637.2
242,242,57,5,43.98,219.9
243,243,70,4,38.36,153.44
244,244,391,3,489.08,1467.24
245,245,361,3,265.35,796.05
246,246,286,1,281.25,281.25
247,247,43,3,471.5,1414.5
248,248,253,1,110.0,110.0
249,249,198,3,119.47,358.41
250,250,234,5,298.09,1490.45
251,251,377,3,208.97,626.91
252,252,352,4,164.28,657.12
253,253,116,5,335.59,1677.95
254,254,209,3,19.37,58.11
255,255,438,4,38.96,155.84
256,256,97,1,241.01,241.01
257,257,459,4,165.97,663.88
258,258,481,3,142.89,428.67
259,259,92,1,214.39,214.39
260,260,346,4,411.17,1644.68
261,261,345,1,467.45,467.45
262,262,203,4,349.28,1397.12
263,263,268,1,372.73,372.73
264,264,62,2,109.84,219.68
265,265,203,4,349.28,1397.12
266,266,356,5,457.15,2285.75
267,267,53,2,5.28,10.56
268,268,34,3,136.12,408.36
269,269,500,2,258.61,517.22
270,270,174,2,318.31,636.62
271,271,305,4,75.41,301.64
272,272,63,2,366.32,732.64
273,273,430,4,475.52,1902.08
274,274,372,4,381.38,1525.52
275,275,143,5,436.72,2183.6
276,276,304,3,78.75,236.25
277,277,388,4,499.69,1998.76
278,278,183,4,215.45,861.8
279,279,342,5,99.35,496.75
280,280,487,4,173.21,692.84
281,281,249,5,441.41,2207.05
282,282,143,2,436.72,873.44
283,283,394,4,452.56,1810.24
284,284,56,1,33.67,33.67
285,285,129,4,442.14,1768.56
286,286,255,2,440.65,881.3
287,287,322,2,250.26,500.52
288,288,16,1,66.79,66.79
289,289,378,1,91.66,91.66
290,290,426,1,210.37,210.37
291,291,256,1,260.73,260.73
292,292,498,2,214.89,429.78
293,293,196,5,139.5,697.5
294,294,348,3,499.46,1498.38
295,295,79,3,204.3,612.9
296,296,319,5,50.16,250.8
297,297,50,1,321.28,321.28
298,298,339,5,354.18,1770.9
299,299,393,4,305.17,1220.68
300,300,406,4,404.21,1616.84
301,301,104,3,263.78,791.34
302,302,339,4,354.18,1416.72
303,303,252,5,426.22,2131.1
304,304,134,5,182.12,910.6
305,305,176,5,158.66,793.3
306,306,280,1,96.26,96.26
307,307,488,1,435.58,435.58
308,308,221,1,375.77,375.77
309,309,197,4,272.38,1089.52
310,310,162,4,450.52,1802.08
311,311,227,4,61.62,246.48
312,312,19,1,353.76,353.76
313,313,91,5,463.63,2318.15
314,314,338,3,466.66,1399.98
315,315,453,2,499.3,998.6
316,316,252,4,426.22,1704.88
317,317,69,3,355.38,1066.14
318,318,367,4,338.81,1355.24
